architecture,noise_type,dominance_ratio,effect_size,p_value,greedy_mean,competitor_mean,competitor_name,significant,greedylr_wins
neural_simple,none,0.533349977908039,-0.23682779679859822,0.37540278750743983,0.00125393858171113,0.0006687881148536689,cosine_restarts,False,False
neural_simple,oscillatory,0.9693360676328313,-0.011442552020553757,0.9656829537479417,0.0003432109148434392,0.0003326867185630059,cosine_restarts,False,False
neural_simple,random_spike,0.5489051227809311,-0.18705507082530506,0.477048301525518,0.000663657643493328,0.00036428508028620856,cosine_restarts,False,False
neural_simple,drift,0.20607580022001107,-0.25005855774094454,0.3411703107061619,0.002830410076264182,0.0005832790214169238,cosine_restarts,False,False
neural_simple,adversarial,0.5393593931162091,-0.23156123795331932,0.39099537780309634,0.0008147922733144242,0.00043946586605064417,cosine_restarts,False,False
neural_simple,plateau,0.20734658374679082,-0.47723287472887693,0.07611233776202767,0.003561904367858015,0.000738548702308132,cosine_restarts,False,False
neural_simple,gaussian,0.03341611783447959,-0.4360830450436375,0.1019655337757949,0.009956613595672733,0.0003327113731453816,cosine_restarts,False,False
ackley,oscillatory,0.9631851933934358,-0.14328059429122736,0.6456883755402364,3.2279305775960285,3.1090949376424155,cosine,False,False
ackley,burst,0.9923737625775334,-0.0271945499939684,0.9309595315223007,3.2952636082967124,3.270133145650228,cosine_restarts,False,False
ackley,periodic_spike,1.070677954872827,0.17531829079546868,0.5853668528321452,3.076694361368815,3.294148826599121,cosine_restarts,False,False
ackley,random_spike,0.8780070807736517,-0.41424457824119604,0.22790238772619736,3.2679620107014973,2.869293785095215,cosine,False,False
ackley,drift,0.7724573549171863,-1.060247598477333,0.0021291576612692464,3.6109437942504883,2.7893000920613606,cosine,True,False
ackley,plateau,1.1412787231510257,0.4405804180185036,0.17588379031256124,2.914012591044108,3.325700569152832,cosine_restarts,False,False
ackley,gaussian,0.9407222036409999,-0.1915794200686123,0.5705288881433159,3.1967639287312823,3.007266807556152,cosine_restarts,False,False
ackley,none,0.9339355156658176,-0.2897680765772171,0.3701982811012582,3.2505133310953775,3.0357698440551757,cosine,False,False
ackley,adversarial,0.9211190221030917,-0.318692545940717,0.32455238912377404,3.4020700454711914,3.1337114334106446,cosine,False,False
neural_conv,burst,0.23118448487518908,-0.5385393240437526,0.04676984275567032,0.0014908811385623722,0.0003446685880286774,cosine_restarts,True,False
neural_conv,random_spike,0.40045746389663295,-0.16909101383345856,0.5189320967311533,0.0014262060389000908,0.000571134853331993,cosine_restarts,False,False
neural_conv,plateau,0.1809549293379176,-0.29790077233095347,0.2581356635403637,0.0019905182355235713,0.0003601940866550043,cosine_restarts,False,False
neural_conv,oscillatory,0.23899398520535806,-0.5239621480973935,0.05388566132759184,0.0019939763012592,0.0004765483426429758,cosine_restarts,False,False
neural_conv,adversarial,0.2227003989983272,-0.36240689425421857,0.17177340120896725,0.0018129539291201978,0.00040374556338065306,cosine_restarts,False,False
neural_conv,none,0.1955936223473091,-0.33357448189167066,0.20707290258458932,0.0031000398940909334,0.0006063480323064141,cosine_restarts,False,False
neural_conv,drift,0.40709928782968857,-0.33036891658801104,0.21553096292862514,0.0018873272921003565,0.0007683295965155897,cosine,False,False
neural_conv,periodic_spike,1.0055064944506087,0.0021225426903116753,0.9937558768987691,0.0006391537410702123,0.0006426732375985012,cosine_restarts,False,False
neural_conv,gaussian,0.2692900498320725,-0.2893169415227762,0.272840390472015,0.0022374934073599918,0.0006025347111669059,cosine,False,False
neural_deep_transformer,adversarial,0.9467867105930787,-0.1943042405006847,0.46081481711519856,0.24855917195479074,0.23533252080281575,cosine_restarts,False,False
neural_deep_transformer,plateau,0.9125512556487315,-0.2176467650928998,0.40758984066252324,0.2586412345369657,0.2360233833392461,cosine,False,False
neural_deep_transformer,gaussian,0.9353577871286682,-0.14471483168787497,0.5813601146390113,0.24712655295928318,0.23115174571673075,cosine,False,False
neural_deep_transformer,periodic_spike,1.062625663327597,0.5191023168708127,0.061831741047698056,0.22218834360440573,0.2361030360062917,cosine_restarts,False,False
neural_deep_transformer,oscillatory,1.01015308579421,0.054249272192653145,0.8365232243872058,0.2375450258453687,0.2399568408727646,cosine,False,False
neural_deep_transformer,burst,1.0254893896590942,0.11690055472650655,0.6614600833464935,0.2294530948003133,0.23530171414216358,cosine_restarts,False,False
neural_deep_transformer,drift,1.0650231971942266,0.6323110126795474,0.024834780518864116,0.21705802381038666,0.23117183049519857,cosine_restarts,True,False
neural_deep_transformer,none,0.8706480348767771,-0.26964577706419907,0.30558564130722254,0.26442753871281943,0.23022331694761913,cosine_restarts,False,False
